family,force,wearing,day,user,posture,speed,quality
F1_X1H,0.04252566228526611,0.0021390543232223114,-0.024611016096480642,0.005567499103148799,-0.0026452119164529497,0.015744597072220867,N/A
F2a_Cov,-0.10101353406230046,0.1617248627551081,-0.00043524454137977564,0.006347830139369459,0.02389865277771397,0.13067408927981217,N/A
F2b_CSP,0.07789048742786642,0.08942115748957769,-0.0013737751968502243,0.02496494386695114,-0.032683108882087586,0.037244630879423535,N/A
F2c_SPD,-0.033757730185450585,0.10189045874831715,-0.0016224798313418942,0.007115634550178496,0.03826055870994094,0.16865606854086107,N/A
F3_Ring,-0.0029917419412620605,0.16553754857703806,N/A,0.033064883745105966,-0.02653056434227019,0.03717011087929151,N/A
F4_Spectral,0.03953868811891892,0.011428055638894152,-0.006993318412289673,-0.004073802807280591,0.010327602105583922,0.026173326058118618,N/A
F5_Temporal,-0.0019018898954412666,0.07297732925583689,0.017872744792226003,-0.0030623653844625287,0.01577376919106177,-0.0016318424728563041,N/A
F6_IMU,N/A,N/A,N/A,0.0221557472844503,N/A,0.021943733774339225,N/A
F6_Posture,N/A,N/A,-0.0011401976261380398,N/A,N/A,N/A,N/A
F9_Quality,0.04311058200031437,0.0585521358375084,0.004677109541891378,0.013064603622345738,-0.016874403138102845,0.017171316598686648,N/A
